question,selected,diversity
非法微整形机构构成非法经营罪吗,"非法经营微整形业务会触犯非法经营罪吗？, 做非法微整形的机构会被认定为非法经营罪吗？, 非法经营微整形服务是否会被追究刑事责任？, 非法开展微整形项目会不会构成刑事犯罪？, 未经授权的微整形机构是否涉嫌非法经营罪？",5.556177943944931
入室持刀行凶伤人能不能判刑,"持刀入室伤人能否构成犯罪？, 入室持刀造成他人伤害的刑罚是什么？, 入室持刀伤人会被判刑吗？, 持刀行凶入室致伤会面临什么刑罚？, 入室行凶致伤能判多久刑期？",5.695068657398224
我在辅道正常右转进主道，主道有两个车，后面的车占用对向车道超车，撞了是谁的责任,"如果在辅道正常右转进入主道时，后面的车越过对向车道超车并发生碰撞，责任该由谁负担？, 如果在辅道右转进入主道时发生交通事故，后面车辆占道超车撞击了前车，责任该如何划分？, 在辅道右转进入主道过程中，如果后方车辆占用对向车道超车造成事故，责任由谁承担？, 如果辅道正常右转进入主道，后面的车占用对向车道超车并发生碰撞，应该由谁负责赔偿？, 在辅道右转进入主道时，后方车辆在对向车道超车发生事故，谁的责任较大？",7.2430490255355835
对交通事故责任认定书不服怎么办，交通事故损,"我对交通事故认定书不服，能向哪个机关申请复议？, 如果对交通事故责任认定有异议，应该去哪里复议？, 交通事故认定书下发后，我不满意该如何复议？, 对交通事故责任认定书不服，复议时需要提供什么材料？, 交通事故责任认定书让我不满意，如何申请上级复议？",5.819711804389954
二审一般要多久,"在二审中，哪些特殊情况可能导致审理时间延长？, 对于民事诉讼中的二审案件，审限一般是如何规定的？, 什么时候二审案件的审理可以超过三个月？, 民事诉讼法对二审的审理时间有何规定？, 二审一般需要多久才能审结？",3.845239609479904
欠钱没有欠条有录音能起诉吗,"仅凭未经篡改的录音能否作为起诉依据，尽管没有欠条？, 没有书面欠条，只有录音的话能否向法院提起诉讼？, 录音是否能替代欠条，作为起诉的依据？, 如果欠款没有欠条，但有录音证明，可以提起诉讼吗？, 没有欠条，但有未经篡改的录音能起诉吗？",5.101245880126953
帮助别人套花呗违法吗,"花呗套现过程中收取手续费是否合法？, 花呗套现并收取服务费算不算违法行为？, 在花呗套现过程中收取费用是否违法？, 帮别人套现花呗收取手续费是违法的吗？, 花呗套现收取费用是否涉及违法犯罪？",6.446800529956818
因工作被三处烫伤，伤为三级烫伤，三处都需要植皮，鉴定能达到几级？,"因工作烫伤三处，均为三级且需要植皮，这样的伤残等级是什么？, 工作中因烫伤三处，都是三级烫伤且需要植皮，伤残等级会被评为几级？, 工作中三处三级烫伤且需要植皮，伤残评定等级是几级？, 我工作时被烫伤三处，均为三级且需要植皮，伤残鉴定结果是多少？, 三处三级烫伤需要植皮治疗，经过鉴定能达到几级伤残？",6.416898876428604
从合伙经营公司撤资，只给欠条有用吗,"退出合伙关系后，欠条是否能够作为清算依据之一？, 从合伙企业退出后，欠条能否替代其他法律文书证明债权？, 退出合伙企业后，仅凭欠条能否证明债务关系？, 合伙人撤资后，欠条是否能够被法院认可为有效凭证？, 合伙清算时，欠条是否能作为合法债权依据？",5.535422533750534
事故中我摩托车付次要责任，自行车付主要责任，我怎赔他医药费,"如果我的摩托车负次要责任，交强险支付部分医疗费后，剩下的费用由我如何分担？, 事故发生后，我负次要责任，交强险会支付哪些医疗费用，我该如何分担剩余的费用？, 在这个事故中，摩托车负次要责任，交强险支付医药费后，我还需要赔偿他多少？, 如果事故中摩托车负次要责任，而自行车负主要责任，我该如何处理赔偿责任和支付医药费用？, 如果摩托车承担次要责任，交强险医疗费用额度内的部分我全额支付，剩余部分如何分担？",5.614025235176086
车祸小脑出血昏迷了5天怎么办,"车祸造成的小脑出血昏迷5天，怎样通过法律途径解决赔偿问题？, 如果车祸造成小脑出血并昏迷了5天，应该怎么办？, 车祸昏迷5天的小脑出血患者如何进行责任认定与索赔？, 车祸致使小脑出血昏迷五天，接下来如何处理？, 小脑出血昏迷5天，车祸后的处理流程是什么？",5.857872784137726
哪些情况可以先行刑事拘留,"刑事拘留的适用情形包括哪些具体情况？, 刑事拘留的具体适用条件是什么？, 哪些情形下，公安机关可以先行拘留嫌疑人？, 对涉嫌犯罪的人，哪些情形下可适用刑事拘留？, 刑事拘留的法定条件有哪些？",4.471359893679619
在工地上面出了安全事故怎么来维护自己的权,"发生工地安全事故后，如何主张自己的工伤赔偿？, 发生工地事故后，如何根据责任划分来要求赔偿？, 在工地事故中受伤后，我如何合法主张赔偿？, 在工地发生事故后，我该如何申请工伤认定？, 工地事故导致受伤后，如何根据责任认定和赔偿标准主张赔偿？",5.899147808551788
申请和受理劳动争议调解仲裁时间上有什么限制,"劳动争议仲裁申请的时效期起始时间如何确定？, 劳动争议申请仲裁的时效期是否有明确规定？, 劳动争议申请仲裁的时效期限是怎样计算的？, 劳动争议仲裁的时效期是按照什么标准来计算的？, 申请劳动仲裁的时效期从何时起算？",6.876800894737244
商标注册有什么相对禁止的条件,"商标法规定哪些商标不能注册因缺乏显著性？, 商标能否仅由商品的形状或技术特征决定？, 如何判断一个商标是否具有显著特征？, 如何避免商标与政府标志或国际组织标志冲突？, 商标注册时有哪些标准来防止不良社会影响？",2.47372467815876
