question,selected,diversity
非法微整形机构构成非法经营罪吗,"非法微整形机构是否构成非法经营罪？, 非法从事微整形服务是否能构成非法经营罪？, 从事非法微整形服务是否会涉及非法经营罪？, 微整形机构未经许可从事服务是否会触犯非法经营罪的相关规定？, 未经许可从事微整形项目会构成非法经营罪吗？, 未经许可经营微整形项目的机构会构成非法经营罪吗？, 未经授权的微整形机构是否涉嫌非法经营罪？, 微整形机构未获得批准从事微整形项目是否违反非法经营罪？, 非法经营微整形项目的机构是否面临非法经营罪的惩罚？, 非法经营微整形业务会触犯非法经营罪吗？",29.923418670892715
入室持刀行凶伤人能不能判刑,"入室持刀伤人会被判刑吗？, 入室伤人持刀是否会判刑？, 入室暴力伤人持刀会怎么判刑？, 持刀伤人入室行为会怎么判刑？, 入室行凶伤人持刀会受到怎样的刑罚？, 入室行凶持刀伤人会面临怎样的法律后果？, 持刀行凶入室致伤会面临什么刑罚？, 持刀入室伤人要怎么处罚？, 入室持刀造成伤害会受到什么惩罚？, 持刀入室致伤会被判刑多久？",29.015234023332596
我在辅道正常右转进主道，主道有两个车，后面的车占用对向车道超车，撞了是谁的责任,"在辅道右转进入主道时，如果主道上有两辆车，后面的车占用对向车道超车并发生碰撞，应该由谁负责？, 如果辅道正常右转进入主道，后面的车占用对向车道超车并发生碰撞，应该由谁负责赔偿？, 如果在辅道正常右转进入主道时，后面的车越过对向车道超车并发生碰撞，责任该由谁负担？, 辅道正常右转进入主道时，后面的车辆因为占用对向车道发生超车碰撞，责任由谁负担？, 辅道右转进入主道时，后面的车辆因占用对向车道超车发生碰撞，这种情况下谁应承担责任？, 当辅道右转进入主道时，后面的车占用对向车道超车发生碰撞，责任应如何划分？, 发生交通事故时，如果辅道右转进入主道后，后面的车在对向车道超车导致撞击，责任由谁承担？, 在辅道右转进入主道过程中，如果后方车辆占用对向车道超车造成事故，责任由谁承担？, 如果在辅道右转进入主道时，后面车占对向车道超车并与前车发生碰撞，责任归谁？, 发生碰撞时，辅道右转进入主道后，后面的车辆在对向车道超车并与前车相撞，责任如何分配？",34.04618322849274
对交通事故责任认定书不服怎么办，交通事故损,"如果我对交通事故责任认定书有异议，应该怎么办？, 如果对交通事故责任认定有异议，应该去哪里复议？, 如果我对交通事故责任认定不服，复议时需要注意什么？, 如果对交通事故责任认定书的内容不满，复议要在多少天内进行？, 对交通事故责任认定书不服，复议时需要提供什么材料？, 我对交通事故认定书中的责任划分不满意，如何进行复议？, 我对交通事故认定书不服，能向哪个机关申请复议？, 交通事故责任认定书让我不满意，如何申请上级复议？, 交通事故责任认定书不合理，我该如何申请复议？, 交通事故责任认定书有问题，该如何投诉或复议？",27.571826457977295
二审一般要多久,"二审一般需要多久才能审结？, 二审案件一般多久可以结束？, 二审的审理一般在多长时间内完成？, 二审立案后，审理时间一般为多长？, 二审立案后是否一定要在三个月内审结？, 二审案件的审理时间是否有特殊情况可以延长？, 二审审结的时间是否能根据具体情况进行调整？, 二审案件的审理时间是否受到案件复杂性的影响？, 在二审中，哪些特殊情况可能导致审理时间延长？, 对判决的上诉案件，二审审理时间是多少？",17.65885315835476
欠钱没有欠条有录音能起诉吗,"如果没有欠条，但有录音证据能起诉吗？, 如果欠款没有欠条，但有录音证明，可以提起诉讼吗？, 如果没有欠条，且有录音和其他证据，能否立案？, 没有书面欠条，但有合法的录音，可以用于诉讼吗？, 没有书面欠条，录音能作为证据起诉吗？, 没有欠条，录音能够作为起诉的凭证吗？, 没有欠条，录音是否能作为有效的证据进行起诉？, 没有欠条，录音能否作为法律诉讼的有效证据？, 没有欠条但有清晰录音，能否作为法院受理的依据？, 录音如果未被篡改，是否能够作为没有欠条情况下的诉讼证据？",25.055051177740097
帮助别人套花呗违法吗,"用花呗套现收取手续费是否合法？, 花呗套现过程中收取手续费是否合法？, 通过花呗套现收取手续费是否属于非法行为？, 在花呗套现过程中收取费用是否违法？, 花呗套现并收取手续费的行为是否触犯法律？, 花呗套现并收取手续费会不会触犯法律？, 花呗套现收取服务费是否构成违法行为？, 花呗套现时收取服务费用属于违法行为吗？, 花呗套现并收取服务费算不算违法行为？, 花呗套现收取费用是否涉及违法犯罪？",30.70256519317627
因工作被三处烫伤，伤为三级烫伤，三处都需要植皮，鉴定能达到几级？,"我因工作受伤，三处烫伤为三级烫伤，植皮治疗后，能评定为几级伤残？, 我因工作受伤，三级烫伤并需植皮治疗，能评定为几级伤残？, 我在工作中被三处三级烫伤，需要植皮，伤残评定是几级？, 如果因工作被烫伤到三级，且需要植皮治疗，伤残评定是多少级？, 如果工作中遭遇三级烫伤并且需要植皮，伤残等级会评定为几级？, 工作中因烫伤三处，都是三级烫伤且需要植皮，伤残等级会被评为几级？, 工作中遭遇三级烫伤且需植皮治疗，伤残等级会是几级？, 工作中三处三级烫伤且需要植皮，伤残评定等级是几级？, 工作中被烫伤三处，均为三级烫伤并需要植皮，伤残等级会是多少？, 我工作时被烫伤三处，均为三级且需要植皮，伤残鉴定结果是多少？",30.77814543247223
从合伙经营公司撤资，只给欠条有用吗,"从合伙公司撤资后，欠条是否有效？, 合伙人撤资后，欠条是否能够被法院认可为有效凭证？, 在合伙关系解除后，欠条是否能够作为有效的债权文件？, 合伙关系解除后，欠条能否作为有效的债权凭证？, 合伙关系解除后，欠条能否作为清算时的债权证明？, 解除合伙关系后，欠条是否具有合法债权的证明效力？, 合伙关系终止后，欠条是否有效用于债务追偿？, 退出合伙关系后，欠条是否能够作为清算依据之一？, 合伙清算时，欠条是否能作为合法债权依据？, 在解除合伙关系后，欠条是否可以证明欠款的存在？",27.618611246347427
事故中我摩托车付次要责任，自行车付主要责任，我怎赔他医药费,"如果我在摩托车事故中负次要责任，自行车方负主要责任，我需要赔偿他多少医药费？, 如果我在摩托车事故中负次要责任，交强险如何支付他的医药费？我自己该怎么赔偿？, 如果我摩托车在事故中负次要责任，且交强险可以覆盖医药费用，那我应该支付多少部分的医疗费？, 摩托车事故中，如果我承担次要责任，交强险赔付的医疗费用能涵盖多少，我如何分担剩余部分？, 如果我在事故中负次要责任，交强险的赔偿额度有限，我如何按比例支付超过额度的医疗费？, 如果我摩托车负次要责任，且医疗费用超过交强险额度，我需要如何分担剩余的费用？, 如果我的摩托车负次要责任，交强险支付部分医疗费后，剩下的费用由我如何分担？, 如果摩托车承担次要责任，交强险医疗费用额度内的部分我全额支付，剩余部分如何分担？, 事故发生后，我负次要责任，交强险会支付哪些医疗费用，我该如何分担剩余的费用？, 事故中摩托车负次要责任，我如何根据交强险和责任比例分担医药费用？",27.6540470123291
